round, train-rmse, test-rmse,
651,1.212835,1.382395,
652,1.212742,1.382185,
653,1.212598,1.382199,
654,1.212514,1.382198,
655,1.212431,1.381118,
656,1.212281,1.381125,
657,1.212077,1.381090,
658,1.211894,1.381198,
659,1.211652,1.381652,
660,1.211584,1.381658,
661,1.211435,1.381610,
662,1.211191,1.380547,
663,1.210928,1.380447,
664,1.210795,1.380541,
665,1.210433,1.380444,
666,1.210230,1.379918,
667,1.210051,1.379900,
668,1.209906,1.379898,
669,1.209789,1.380707,
670,1.209586,1.380682,
671,1.209440,1.380680,
672,1.209211,1.380679,
673,1.209015,1.380678,
674,1.208801,1.380580,
675,1.208588,1.380581,
676,1.208508,1.380864,
677,1.208434,1.380835,
678,1.208319,1.380836,
679,1.208114,1.380799,
680,1.207984,1.380940,
681,1.207833,1.380917,
682,1.207742,1.380937,
683,1.207585,1.381049,
684,1.207449,1.381150,
685,1.207298,1.381113,
686,1.207131,1.381121,
687,1.206974,1.381241,
688,1.206913,1.381256,
689,1.206860,1.381255,
690,1.206759,1.381260,
691,1.206561,1.381299,
692,1.206430,1.380877,
693,1.206377,1.380567,
694,1.206212,1.380568,
695,1.206089,1.380592,
696,1.205958,1.380592,
697,1.205823,1.380060,
698,1.205687,1.380108,
699,1.205489,1.380138,
700,1.205353,1.380139,
701,1.205183,1.380234,
702,1.205087,1.380233,
703,1.204870,1.380214,
704,1.204742,1.380182,
705,1.204541,1.380055,
706,1.204479,1.380093,
707,1.204273,1.380108,
708,1.204178,1.380092,
709,1.204060,1.380093,
710,1.203968,1.380088,
711,1.203770,1.380125,
712,1.203573,1.380114,
713,1.203381,1.380148,
714,1.203176,1.380155,
715,1.203025,1.380161,
716,1.202887,1.380134,
717,1.202751,1.380327,
718,1.202579,1.380350,
719,1.202374,1.380362,
720,1.202126,1.379475,
721,1.201851,1.379645,
722,1.201695,1.379704,
723,1.201445,1.379519,
724,1.201298,1.379515,
725,1.201145,1.379464,
726,1.200941,1.378803,
727,1.200819,1.379221,
728,1.200553,1.379225,
729,1.200308,1.378863,
730,1.200051,1.378915,
731,1.199965,1.378919,
732,1.199795,1.378907,
733,1.199600,1.378775,
734,1.199437,1.378998,
735,1.199252,1.378714,
736,1.199066,1.378705,
737,1.198881,1.378695,
738,1.198718,1.378926,
739,1.198541,1.378829,
740,1.198368,1.379056,
741,1.198220,1.379081,
742,1.198062,1.379175,
743,1.197890,1.379174,
744,1.197750,1.379176,
745,1.197562,1.380837,
746,1.197396,1.380836,
747,1.197314,1.380824,
748,1.197216,1.380817,
749,1.197064,1.380761,
750,1.196917,1.380734,
751,1.196850,1.380730,
752,1.196682,1.380821,
753,1.196310,1.380837,
754,1.196033,1.380744,
755,1.195925,1.380740,
756,1.195786,1.380601,
757,1.195665,1.380610,
758,1.195301,1.380693,
759,1.195204,1.380686,
760,1.195062,1.380686,
761,1.194911,1.380638,
762,1.194806,1.380597,
763,1.194699,1.380546,
764,1.194531,1.380547,
765,1.194400,1.380562,
766,1.194262,1.382329,
767,1.194105,1.382330,
768,1.193991,1.382401,
769,1.193856,1.382403,
770,1.193766,1.382412,
771,1.193558,1.382390,
772,1.193491,1.382390,
773,1.193354,1.382424,
774,1.192747,1.383318,
775,1.192628,1.383291,
776,1.192517,1.383275,
777,1.192377,1.383271,
778,1.192213,1.382303,
779,1.192140,1.382255,
780,1.191995,1.382240,
781,1.191869,1.382183,
782,1.191715,1.382192,
783,1.191622,1.382250,
784,1.191574,1.382243,
785,1.191465,1.382213,
786,1.191233,1.382013,
787,1.191149,1.381972,
788,1.190903,1.381972,
789,1.190838,1.381967,
790,1.190785,1.381971,
791,1.190662,1.381882,
792,1.190536,1.381553,
793,1.190435,1.381500,
794,1.190396,1.381498,
795,1.190300,1.381499,
796,1.190228,1.381444,
797,1.190130,1.381206,
798,1.190005,1.381187,
799,1.189789,1.380091,
800,1.189745,1.380090,
801,1.189711,1.380089,
802,1.189638,1.380053,
803,1.189455,1.380076,
804,1.189252,1.379954,
805,1.189081,1.380149,
806,1.188963,1.380178,
807,1.188757,1.380105,
808,1.188717,1.380129,
809,1.188568,1.380080,
810,1.188250,1.379919,
811,1.188152,1.379997,
812,1.187935,1.379958,
813,1.187702,1.379514,
814,1.187504,1.378993,
815,1.187359,1.378992,
816,1.187154,1.378852,
817,1.187085,1.378871,
818,1.186864,1.378806,
819,1.186741,1.378970,
820,1.186596,1.378951,
821,1.186545,1.378930,
822,1.186396,1.378870,
823,1.186262,1.378889,
824,1.186174,1.378890,
825,1.186057,1.378891,
826,1.185926,1.378663,
827,1.185673,1.378049,
828,1.185473,1.378048,
829,1.185311,1.378172,
830,1.185099,1.378156,
831,1.184704,1.378073,
832,1.184582,1.378120,
833,1.184411,1.377858,
834,1.184232,1.377991,
835,1.184124,1.377987,
836,1.184003,1.378160,
837,1.183809,1.378136,
838,1.183641,1.378233,
839,1.183553,1.378280,
840,1.183332,1.378392,
841,1.183016,1.377121,
842,1.182811,1.377190,
843,1.182663,1.377172,
844,1.182516,1.377167,
845,1.182441,1.377186,
846,1.182362,1.377197,
847,1.182227,1.377139,
848,1.182071,1.377126,
849,1.181886,1.376790,
850,1.181752,1.376576,
851,1.181509,1.376488,
852,1.181301,1.375993,
853,1.181062,1.376077,
854,1.180619,1.376065,
855,1.180460,1.375829,
856,1.180364,1.375807,
857,1.180269,1.375409,
858,1.180123,1.374583,
859,1.179959,1.373812,
860,1.179795,1.373684,
861,1.179674,1.372922,
862,1.179511,1.372911,
863,1.179344,1.372839,
864,1.179130,1.372991,
865,1.178969,1.372909,
866,1.178850,1.372907,
867,1.178701,1.372898,
868,1.178585,1.372903,
869,1.178483,1.372925,
870,1.178278,1.372927,
871,1.178118,1.372923,
872,1.177977,1.372872,
873,1.177844,1.372868,
874,1.177701,1.372986,
875,1.177601,1.372926,
876,1.177409,1.372946,
877,1.177218,1.372952,
878,1.177122,1.372870,
879,1.177032,1.372857,
880,1.176947,1.372822,
881,1.176815,1.372808,
882,1.176697,1.372794,
883,1.176538,1.372794,
884,1.176407,1.372788,
885,1.176340,1.372769,
886,1.176085,1.372674,
887,1.175972,1.372721,
888,1.175927,1.372743,
889,1.175874,1.372669,
890,1.175812,1.372667,
891,1.175678,1.372514,
892,1.175527,1.372527,
893,1.175325,1.372508,
894,1.175093,1.372600,
895,1.175017,1.372580,
896,1.174886,1.372721,
897,1.174702,1.372152,
898,1.174481,1.372100,
899,1.174390,1.371935,
900,1.174345,1.371933,
901,1.174208,1.371933,
902,1.174124,1.371841,
903,1.174054,1.371771,
904,1.173863,1.371794,
905,1.173765,1.371835,
906,1.173633,1.371751,
907,1.173509,1.371752,
908,1.173436,1.371733,
909,1.173347,1.371743,
910,1.173259,1.371751,
911,1.172973,1.371549,
912,1.172845,1.371545,
913,1.172804,1.371542,
914,1.172557,1.371344,
915,1.172441,1.371339,
916,1.172240,1.371339,
917,1.171973,1.371175,
918,1.171840,1.371175,
919,1.171737,1.371274,
920,1.171638,1.371278,
921,1.171549,1.371535,
922,1.171390,1.371526,
923,1.171309,1.371519,
924,1.171052,1.371385,
925,1.170852,1.371056,
926,1.170743,1.370812,
927,1.170560,1.370691,
928,1.170462,1.370698,
929,1.170277,1.370706,
930,1.169967,1.370885,
931,1.169834,1.370696,
932,1.169664,1.370366,
933,1.169587,1.370417,
934,1.169368,1.373353,
935,1.169241,1.373388,
936,1.169046,1.373399,
937,1.168913,1.373427,
938,1.168808,1.373425,
