"prod","data","vendite_giorn_prod"
1,"2015-03-16",795
1,"2015-03-17",869
1,"2015-03-18",895
1,"2015-03-19",765
1,"2015-03-20",909
1,"2015-03-21",291
1,"2015-03-22",33
1,"2015-03-23",838
1,"2015-03-24",934
1,"2015-03-25",868
1,"2015-03-26",641
1,"2015-03-27",853
1,"2015-03-28",295
1,"2015-03-29",71
1,"2015-03-30",836
1,"2015-03-31",793
1,"2015-04-01",850
1,"2015-04-02",799
1,"2015-04-03",829
1,"2015-04-04",202
1,"2015-04-05",50
1,"2015-04-06",37
1,"2015-04-07",705
1,"2015-04-08",782
1,"2015-04-09",839
1,"2015-04-10",740
1,"2015-04-11",173
1,"2015-04-12",103
1,"2015-04-13",854
1,"2015-04-14",888
1,"2015-04-15",823
1,"2015-04-16",767
1,"2015-04-17",850
1,"2015-04-18",232
1,"2015-04-19",68
1,"2015-04-20",604
1,"2015-04-21",613
1,"2015-04-22",679
1,"2015-04-23",1042
1,"2015-04-24",941
1,"2015-04-25",144
1,"2015-04-26",72
1,"2015-04-27",949
1,"2015-04-28",769
1,"2015-04-29",684
1,"2015-04-30",806
1,"2015-05-01",125
1,"2015-05-02",59
1,"2015-05-03",33
1,"2015-05-04",646
1,"2015-05-05",896
1,"2015-05-06",807
1,"2015-05-07",906
1,"2015-05-08",826
1,"2015-05-09",237
1,"2015-05-10",6
1,"2015-05-11",873
1,"2015-05-12",951
1,"2015-05-13",852
1,"2015-05-14",871
1,"2015-05-15",732
1,"2015-05-16",124
1,"2015-05-17",132
1,"2015-05-18",869
1,"2015-05-19",824
1,"2015-05-20",812
1,"2015-05-21",586
1,"2015-05-22",793
1,"2015-05-23",295
1,"2015-05-24",69
1,"2015-05-25",702
1,"2015-05-26",916
1,"2015-05-27",824
1,"2015-05-28",614
1,"2015-05-29",609
1,"2015-05-30",149
1,"2015-05-31",113
1,"2015-06-01",400
1,"2015-06-02",413
1,"2015-06-03",769
1,"2015-06-04",863
1,"2015-06-05",655
1,"2015-06-06",303
1,"2015-06-07",90
1,"2015-06-08",867
1,"2015-06-09",799
1,"2015-06-10",851
1,"2015-06-11",802
1,"2015-06-12",720
1,"2015-06-13",229
1,"2015-06-14",78
1,"2015-06-15",890
1,"2015-06-16",822
1,"2015-06-17",807
1,"2015-06-18",794
1,"2015-06-19",772
1,"2015-06-20",134
1,"2015-06-21",101
1,"2015-06-22",873
1,"2015-06-23",837
1,"2015-06-24",655
1,"2015-06-25",877
1,"2015-06-26",849
1,"2015-06-27",268
1,"2015-06-28",86
1,"2015-06-29",768
1,"2015-06-30",771
1,"2015-07-01",799
1,"2015-07-02",776
1,"2015-07-03",806
1,"2015-07-04",157
1,"2015-07-05",56
1,"2015-07-06",773
1,"2015-07-07",788
1,"2015-07-08",811
1,"2015-07-09",761
1,"2015-07-10",711
1,"2015-07-11",194
1,"2015-07-12",114
1,"2015-07-13",753
1,"2015-07-14",758
1,"2015-07-15",789
1,"2015-07-16",771
1,"2015-07-17",894
1,"2015-07-18",186
1,"2015-07-19",53
1,"2015-07-20",678
1,"2015-07-21",715
1,"2015-07-22",691
1,"2015-07-23",675
1,"2015-07-24",675
1,"2015-07-25",206
1,"2015-07-26",38
1,"2015-07-27",568
1,"2015-07-28",796
1,"2015-07-29",679
1,"2015-07-30",627
1,"2015-07-31",756
1,"2015-08-01",249
1,"2015-08-02",35
1,"2015-08-03",700
1,"2015-08-04",746
1,"2015-08-05",677
1,"2015-08-06",639
1,"2015-08-07",648
1,"2015-08-08",136
1,"2015-08-09",43
1,"2015-08-10",564
1,"2015-08-11",571
1,"2015-08-12",555
1,"2015-08-13",552
1,"2015-08-14",487
1,"2015-08-15",10
1,"2015-08-16",3
1,"2015-08-17",482
1,"2015-08-18",537
1,"2015-08-19",526
1,"2015-08-20",496
1,"2015-08-21",516
1,"2015-08-22",92
1,"2015-08-23",29
1,"2015-08-24",577
1,"2015-08-25",606
1,"2015-08-26",574
1,"2015-08-27",620
1,"2015-08-28",627
1,"2015-08-29",116
1,"2015-08-30",43
1,"2015-08-31",611
1,"2015-09-01",687
1,"2015-09-02",649
1,"2015-09-03",684
1,"2015-09-04",671
